symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSFT,2023-07-20 21:00:00+00:00,347.15,347.44,346.7342,347.1204,784788.0,787.0,346.879546
MSFT,2023-07-20 22:00:00+00:00,347.2,347.39,346.45,346.74,70890.0,1944.0,346.956294
MSFT,2023-07-20 23:00:00+00:00,346.7,347.2,346.05,346.41,47190.0,1246.0,346.650166
MSFT,2023-07-21 08:00:00+00:00,347.73,348.86,347.73,348.75,15841.0,485.0,348.534635
MSFT,2023-07-21 09:00:00+00:00,348.69,348.7,348.06,348.1,21398.0,215.0,348.585898
MSFT,2023-07-21 10:00:00+00:00,348.17,349.7,348.1,349.42,7780.0,174.0,348.983032
MSFT,2023-07-21 11:00:00+00:00,349.06,349.94,348.5,348.51,49325.0,1326.0,349.213138
MSFT,2023-07-21 12:00:00+00:00,349.03,349.85,347.04,349.02,163358.0,3463.0,349.207474
MSFT,2023-07-21 13:00:00+00:00,349.11,350.56,346.88,347.665,4520484.0,68132.0,348.73219
MSFT,2023-07-21 14:00:00+00:00,347.661,348.54,345.5,347.06,4147765.0,95449.0,347.465055
MSFT,2023-07-21 15:00:00+00:00,347.06,348.35,345.735,346.38,2697811.0,48120.0,347.002182
MSFT,2023-07-21 16:00:00+00:00,346.37,346.61,344.96,345.77,3169739.0,47535.0,345.562112
MSFT,2023-07-21 17:00:00+00:00,345.73,347.25,345.61,346.19,2724390.0,43474.0,346.370523
MSFT,2023-07-21 18:00:00+00:00,346.185,346.245,343.99,344.16,3772203.0,54984.0,344.917993
MSFT,2023-07-21 19:00:00+00:00,344.16,346.01,339.83,343.77,13401413.0,164382.0,343.279254
MSFT,2023-07-21 20:00:00+00:00,343.78,344.8,343.51,344.12,36020401.0,2433.0,343.772978
MSFT,2023-07-21 21:00:00+00:00,344.1,344.85,343.77,344.65,47855.0,532.0,344.177636
MSFT,2023-07-21 22:00:00+00:00,344.65,345.2,344.45,344.51,35444.0,634.0,344.786928
MSFT,2023-07-21 23:00:00+00:00,344.58,344.94,344.58,344.75,12874.0,258.0,344.788522
MSFT,2023-07-24 08:00:00+00:00,345.7,346.83,345.7,345.81,15401.0,439.0,346.20877
MSFT,2023-07-24 09:00:00+00:00,345.82,346.24,345.76,346.2,12595.0,253.0,345.925328
