symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JNJ,2023-07-19 21:00:00+00:00,158.75,158.85,158.26,158.85,1340.0,12.0,158.741022
JNJ,2023-07-19 22:00:00+00:00,158.87,158.9567,158.74,158.8,2295.0,20.0,158.869574
JNJ,2023-07-19 23:00:00+00:00,158.95,159.3,158.75,159.3,2395.0,37.0,158.955695
JNJ,2023-07-20 08:00:00+00:00,160.01,160.02,160.01,160.02,290.0,11.0,160.034655
JNJ,2023-07-20 10:00:00+00:00,160.0,162.73,160.0,161.78,11661.0,312.0,161.82833
JNJ,2023-07-20 11:00:00+00:00,161.56,161.56,160.71,160.98,26535.0,624.0,161.057399
JNJ,2023-07-20 12:00:00+00:00,161.1,162.3285,155.5,155.5,144846.0,3215.0,158.510462
JNJ,2023-07-20 13:00:00+00:00,156.5,166.65,156.0,166.61,4981263.0,63870.0,164.30418
JNJ,2023-07-20 14:00:00+00:00,166.62,168.77,165.69,168.44,4260772.0,69021.0,167.297791
JNJ,2023-07-20 15:00:00+00:00,168.445,168.785,167.48,168.11,2806545.0,36410.0,168.164229
JNJ,2023-07-20 16:00:00+00:00,168.11,169.14,168.05,169.1,1577466.0,23893.0,168.785769
JNJ,2023-07-20 17:00:00+00:00,169.0865,169.1,168.29,168.54,1412723.0,19164.0,168.601248
JNJ,2023-07-20 18:00:00+00:00,168.53,168.69,167.32,168.0589,1721900.0,24532.0,168.01573
JNJ,2023-07-20 19:00:00+00:00,168.05,168.43,167.67,168.35,2853531.0,38993.0,168.083155
JNJ,2023-07-20 20:00:00+00:00,168.38,168.39,167.77,167.9,2056229.0,222.0,168.379171
JNJ,2023-07-20 21:00:00+00:00,167.83,168.3,167.8088,168.3,4916.0,59.0,168.084711
JNJ,2023-07-20 22:00:00+00:00,168.3,168.5,168.28,168.5,7875.0,72.0,168.433673
JNJ,2023-07-20 23:00:00+00:00,168.0,168.5,168.0,168.33,2022.0,21.0,168.190252
JNJ,2023-07-21 08:00:00+00:00,167.93,167.93,167.93,167.93,522.0,20.0,167.944444
JNJ,2023-07-21 09:00:00+00:00,167.81,168.15,167.6,168.15,1644.0,12.0,167.763589
JNJ,2023-07-21 10:00:00+00:00,167.91,168.1,167.9,167.9,3758.0,41.0,167.941658
JNJ,2023-07-21 11:00:00+00:00,167.8,167.95,167.8,167.95,4615.0,66.0,167.84577
JNJ,2023-07-21 12:00:00+00:00,167.8,168.1,167.8,167.856,3720.0,117.0,167.973506
JNJ,2023-07-21 13:00:00+00:00,167.8,169.64,167.31,168.88,1383658.0,19366.0,168.749125
JNJ,2023-07-21 14:00:00+00:00,168.91,169.98,168.47,169.9,1311024.0,29945.0,169.378487
JNJ,2023-07-21 15:00:00+00:00,169.88,170.79,169.69,170.13,1885657.0,22540.0,170.217255
JNJ,2023-07-21 16:00:00+00:00,170.14,170.74,169.9,170.32,868324.0,13603.0,170.309295
JNJ,2023-07-21 17:00:00+00:00,170.33,170.69,170.07,170.58,1001682.0,13543.0,170.478313
JNJ,2023-07-21 18:00:00+00:00,170.565,170.82,170.3,170.465,1025537.0,15886.0,170.536252
JNJ,2023-07-21 19:00:00+00:00,170.46,170.63,169.97,170.13,2426050.0,33267.0,170.301895
JNJ,2023-07-21 20:00:00+00:00,170.19,170.31,169.76,170.2,2097053.0,157.0,170.190093
JNJ,2023-07-21 21:00:00+00:00,170.18,170.2,170.1,170.1,8520.0,17.0,170.131886
JNJ,2023-07-21 22:00:00+00:00,170.19,170.19,169.8001,170.0,2818.0,16.0,170.031107
JNJ,2023-07-21 23:00:00+00:00,170.19,170.19,170.0,170.0,349.0,5.0,170.076877
JNJ,2023-07-24 10:00:00+00:00,169.83,171.55,169.83,171.55,17362.0,226.0,171.228297
JNJ,2023-07-24 11:00:00+00:00,171.51,172.3,171.2,172.01,18854.0,542.0,171.796201
JNJ,2023-07-24 12:00:00+00:00,171.67,172.25,171.2,171.66,55102.0,1199.0,171.71833
JNJ,2023-07-24 13:00:00+00:00,171.68,173.33,171.19,173.26,2192399.0,33129.0,172.221465
JNJ,2023-07-24 14:00:00+00:00,173.3,173.82,172.72,173.625,2476214.0,45257.0,173.284358
JNJ,2023-07-24 15:00:00+00:00,173.62,173.62,171.85,171.91,1668395.0,25795.0,172.737009
JNJ,2023-07-24 16:00:00+00:00,171.9,172.4,171.58,172.21,1660807.0,17556.0,171.983373
JNJ,2023-07-24 17:00:00+00:00,172.22,172.71,171.96,172.2173,1516660.0,16485.0,172.250422
JNJ,2023-07-24 18:00:00+00:00,172.2215,172.29,171.82,171.89,748561.0,14315.0,172.025317
JNJ,2023-07-24 19:00:00+00:00,171.89,171.965,170.99,171.09,2984467.0,30785.0,171.375567
JNJ,2023-07-24 20:00:00+00:00,171.08,171.767,171.08,171.2677,1730005.0,80.0,171.090971
JNJ,2023-07-24 21:00:00+00:00,171.12,171.12,171.12,171.12,410.0,3.0,171.12
JNJ,2023-07-24 22:00:00+00:00,171.0897,171.0897,171.0897,171.0897,150.0,1.0,171.0897
JNJ,2023-07-24 23:00:00+00:00,171.08,171.08,171.08,171.08,982.0,6.0,171.080122
JNJ,2023-07-25 09:00:00+00:00,170.55,170.55,170.55,170.55,100.0,1.0,170.55
JNJ,2023-07-25 11:00:00+00:00,170.36,170.49,170.36,170.49,1215.0,35.0,170.456601
JNJ,2023-07-25 12:00:00+00:00,170.31,170.5,170.31,170.38,5032.0,75.0,170.457268
JNJ,2023-07-25 13:00:00+00:00,170.38,171.71,169.75,171.5,941795.0,16384.0,170.735064
JNJ,2023-07-25 14:00:00+00:00,171.51,172.1,171.12,171.75,1868339.0,25805.0,171.719455
JNJ,2023-07-25 15:00:00+00:00,171.75,171.93,171.24,171.88,1563856.0,14845.0,171.568484
JNJ,2023-07-25 16:00:00+00:00,171.9,171.96,171.46,171.635,1459417.0,10227.0,171.706562
JNJ,2023-07-25 17:00:00+00:00,171.6525,171.94,171.32,171.57,729696.0,11184.0,171.644653
JNJ,2023-07-25 18:00:00+00:00,171.56,172.23,171.51,172.1,1865546.0,13175.0,172.0228
JNJ,2023-07-25 19:00:00+00:00,172.1,172.68,171.81,172.38,2854703.0,28078.0,172.353295
JNJ,2023-07-25 20:00:00+00:00,172.39,172.39,171.77,172.05,2479996.0,134.0,172.38261
JNJ,2023-07-25 21:00:00+00:00,172.3899,172.3899,172.3899,172.3899,332.0,3.0,172.387611
JNJ,2023-07-25 22:00:00+00:00,171.8249,172.59,171.8249,172.37,962.0,12.0,172.383788
JNJ,2023-07-25 23:00:00+00:00,172.55,172.55,172.55,172.55,300.0,2.0,172.550633
JNJ,2023-07-26 12:00:00+00:00,172.11,172.11,172.11,172.11,112.0,9.0,172.109375
JNJ,2023-07-26 13:00:00+00:00,171.15,172.88,171.15,171.91,1333485.0,15135.0,172.06776
JNJ,2023-07-26 14:00:00+00:00,171.9,173.85,171.815,173.55,2782154.0,28403.0,172.805199
JNJ,2023-07-26 15:00:00+00:00,173.54,173.84,172.5371,172.73,2229598.0,14516.0,173.27251
JNJ,2023-07-26 16:00:00+00:00,172.72,173.16,172.59,173.02,1512196.0,9330.0,172.893246
JNJ,2023-07-26 17:00:00+00:00,173.015,173.08,172.5,173.05,1710641.0,8745.0,172.813391
JNJ,2023-07-26 18:00:00+00:00,173.02,173.43,172.72,173.295,729793.0,12494.0,173.059942
JNJ,2023-07-26 19:00:00+00:00,173.28,173.28,172.06,172.76,1660578.0,22542.0,172.574919
JNJ,2023-07-26 20:00:00+00:00,172.72,172.7794,172.0,172.37,2313897.0,59.0,172.721596
JNJ,2023-07-26 21:00:00+00:00,172.5,172.72,172.38,172.38,2174.0,12.0,172.617185
JNJ,2023-07-26 23:00:00+00:00,172.15,172.15,172.15,172.15,555.0,3.0,172.150541
JNJ,2023-07-27 09:00:00+00:00,173.07,173.07,172.75,172.75,367.0,19.0,172.873815
JNJ,2023-07-27 10:00:00+00:00,172.75,172.75,172.71,172.71,1387.0,41.0,172.680613
JNJ,2023-07-27 11:00:00+00:00,172.7,172.7,172.5,172.51,2091.0,80.0,172.53032
JNJ,2023-07-27 12:00:00+00:00,172.6,172.9799,172.42,172.72,12042.0,135.0,172.698346
JNJ,2023-07-27 13:00:00+00:00,172.72,173.55,172.04,173.52,766889.0,13987.0,172.797977
JNJ,2023-07-27 14:00:00+00:00,173.52,174.09,172.91,173.55,2338143.0,25082.0,173.330682
JNJ,2023-07-27 15:00:00+00:00,173.57,173.85,173.08,173.55,955319.0,15093.0,173.452086
JNJ,2023-07-27 16:00:00+00:00,173.55,174.29,173.33,174.06,1150669.0,14306.0,173.852908
JNJ,2023-07-27 17:00:00+00:00,174.06,174.21,173.56,173.92,974162.0,15150.0,173.929748
JNJ,2023-07-27 18:00:00+00:00,173.91,174.21,173.295,173.47,1681688.0,18333.0,173.730943
JNJ,2023-07-27 19:00:00+00:00,173.47,173.94,173.22,173.67,2261476.0,32113.0,173.575547
JNJ,2023-07-27 20:00:00+00:00,173.69,173.69,173.1405,173.6,2291321.0,70.0,173.687025
