symbol,timestamp,open,high,low,close,volume,trade_count,vwap
WMT,2023-07-17 22:00:00+00:00,154.85,154.85,154.85,154.85,1.0,1.0,154.5
WMT,2023-07-18 12:00:00+00:00,154.55,154.6,154.55,154.6,307.0,14.0,154.578632
WMT,2023-07-18 13:00:00+00:00,154.57,154.84,154.4,154.76,305050.0,5436.0,154.664072
WMT,2023-07-18 14:00:00+00:00,154.7,155.515,154.68,155.42,670147.0,11191.0,155.156812
WMT,2023-07-18 15:00:00+00:00,155.43,155.66,155.22,155.315,486359.0,8523.0,155.43507
WMT,2023-07-18 16:00:00+00:00,155.315,155.345,154.2,154.43,433445.0,8523.0,154.636899
WMT,2023-07-18 17:00:00+00:00,154.43,154.595,154.35,154.45,291715.0,6871.0,154.473753
WMT,2023-07-18 18:00:00+00:00,154.44,154.63,154.08,154.12,349000.0,7997.0,154.383203
WMT,2023-07-18 19:00:00+00:00,154.12,154.63,153.86,154.59,1036464.0,17359.0,154.359232
WMT,2023-07-18 20:00:00+00:00,154.57,154.57,154.25,154.33,859285.0,92.0,154.569112
WMT,2023-07-18 22:00:00+00:00,154.5,154.5,154.5,154.5,1315.0,3.0,154.5
WMT,2023-07-18 23:00:00+00:00,154.57,154.57,154.57,154.57,416.0,5.0,154.569639
WMT,2023-07-19 11:00:00+00:00,154.75,154.8,154.75,154.8,756.0,7.0,154.755093
WMT,2023-07-19 12:00:00+00:00,154.82,154.82,154.57,154.72,906.0,32.0,154.666558
WMT,2023-07-19 13:00:00+00:00,154.8,155.2,154.37,154.4803,362070.0,6171.0,154.728218
WMT,2023-07-19 14:00:00+00:00,154.495,154.56,153.75,153.86,601605.0,12805.0,154.192974
WMT,2023-07-19 15:00:00+00:00,153.87,154.2,153.75,154.055,504646.0,8999.0,153.958177
WMT,2023-07-19 16:00:00+00:00,154.05,154.28,153.82,154.005,449703.0,9228.0,154.031695
WMT,2023-07-19 17:00:00+00:00,154.01,154.3,154.01,154.2,300962.0,6771.0,154.181721
WMT,2023-07-19 18:00:00+00:00,154.19,154.6199,154.075,154.49,337888.0,7747.0,154.345002
WMT,2023-07-19 19:00:00+00:00,154.48,154.73,154.17,154.59,761284.0,13773.0,154.476782
WMT,2023-07-19 20:00:00+00:00,154.62,154.62,154.31,154.62,732729.0,100.0,154.619761
WMT,2023-07-19 22:00:00+00:00,154.65,154.65,154.59,154.59,1091.0,16.0,154.595683
WMT,2023-07-19 23:00:00+00:00,154.62,154.62,154.3,154.59,591.0,6.0,154.508325
WMT,2023-07-20 11:00:00+00:00,154.7,154.9,154.7,154.9,474.0,4.0,154.788608
WMT,2023-07-20 12:00:00+00:00,154.4638,155.0,154.1047,154.5,2443.0,34.0,154.6579
WMT,2023-07-20 13:00:00+00:00,154.5077,155.96,154.5,155.89,522868.0,7603.0,155.355203
WMT,2023-07-20 14:00:00+00:00,155.905,156.78,155.84,156.7576,792212.0,14172.0,156.235647
WMT,2023-07-20 15:00:00+00:00,156.76,156.77,156.35,156.44,433447.0,9221.0,156.560016
WMT,2023-07-20 16:00:00+00:00,156.43,156.82,156.39,156.82,277228.0,6708.0,156.658584
WMT,2023-07-20 17:00:00+00:00,156.814,157.26,156.69,156.965,340787.0,7497.0,156.937016
WMT,2023-07-20 18:00:00+00:00,156.96,157.28,156.72,157.18,376694.0,8548.0,156.98698
WMT,2023-07-20 19:00:00+00:00,157.19,157.55,156.89,157.48,1351186.0,21323.0,157.238565
